ID_geno;Millesime;Moda_oeno;Resu_CodeCuve;Nom_IFV;actique;lactique;malique;AT;CO2;SO2l;SO2tot;Ethanal;GluFru;IPT;IC;pH;SOACactif;TAVP
RR002;2022;;22RR.002;P506-E03-IR-2016;0,15;1,6;0,2;2,62;250;11;178;143;0,8;40;7;3,8;0,16;11,06
RR003;2022;;22RR.003;P505-A06-IR-2016;0,38;0,9;0,7;2,69;80;27;93;49;1,1;75;18,8;3,67;0,51;10,21
RR005;2022;;22RR.005;P506-D10-IR-2016;0,53;2,6;0,1;3,12;-40;10;157;111;0,9;28;2,7;3,89;0,11;9,71
RR008;2022;;22RR.008;P511-F10-IR-2016;0,13;1;0,1;2,23;250;10;85;81;0,1;70;16,9;3,95;0,12;14,23
RR013;2022;;22RR.013;P471-C10-IR-2016;0,3;2;0;2,39;70;26;103;45;0;33;2,7;4,11;0,19;11,23
RR016;2022;;22RR.016;P475-F07-IR-2016 ;0,35;1,7;0;2,49;20;23;92;44;0,1;40;2,4;4,07;0,18;9,99
RR022;2022;;22RR.022VRAI;P472-E01-IR-2016;0,4;1,6;0;3,13;100;23;66;36;0;50;17,6;3,62;0,52;11,65
RR024;2022;;22RR.024;P478-C06-IR-2016 ;0,17;1,7;0,1;3,27;240;32;71;24;0;50;14,6;3,68;0,71;14,4
RR025;2022;;22RR.025;P472-F02-IR-2016;0,39;1,1;0,1;3,43;200;7;184;162;0;45;21,6;3,46;0,23;11,09
RR026;2022;;22RR.026;P479-C10-IR-2016;0,26;2,1;0,2;2,75;80;24;124;62;0;37;2,8;3,97;0,24;11,96
RR028;2022;Fermenteur inox;22RR.028FK;P480-E08-IR-2016;0,38;1,2;0,2;3,16;80;27;123;60;0,2;29;5,6;3,6;0,64;11,8
RR028;2022;Seau plastique;22RR.028SB;P480-E08-IR-2016;0,28;1,6;0,1;3,12;230;6;181;162;0;35;11,5;3,74;0,1;12,39
RR030;2022;;22RR.030;P481-E03-IR-2016;0,26;1,2;0,1;4,49;180;22;96;51;0;48;20,5;3,14;1,48;11,99
RR034;2022;;22RR.034;P488-D05-IR-2016;0,19;1,2;0,1;2,1;250;20;150;97;0;42;4,8;4,08;0,15;10,52
RR037;2022;;22RR.037;P487-D05-IR-2016 ;0,6;1,4;0,3;2,51;100;20;128;88;0;62;14,5;4,09;0,15;10,66
RR042;2022;;22RR.042;P458-F07-IR-2016;0,24;2,2;0;2,62;170;7;201;169;0;43;8,1;4,08;0,06;10,91
RR048;2022;;22RR.048;P460-B09-gauche-IR-2016;0,49;2,4;0;2,66;80;23;103;64;0;55;10,5;4,17;0,13;9,89
Floreal;2022;;22RR.FLOREALFK;;0,33;0,1;0,6;2,5;170;25;100;32;0;;;3,65;0,56;12,87
Grenache;2022;Fermenteur inox;22RR.GRENACHE2FK;;0,41;0,9;0,1;2,51;70;26;120;53;0,3;31;1,6;3,82;0,38;12,01
Grenache;2022;Seau plastique;22RR.GRENACHE2SB;;0,33;1;0,1;2,4;240;6;195;156;0;29;2,5;3,89;0,07;12,28
Syrah;2022;;22RR.SYRAHFK;;0,3;2,9;0,6;2,55;150;27;92;45;0;46;7,6;4,23;0,16;12,51
Vidoc;2022;Fermenteur inox;22RR.VIDOCFK;;0,27;1,4;0;3,07;0;31;116;51;0,6;35;4,5;3,74;0,48;9,62
Vidoc;2022;Frigo 24h;22RR.VIDOCfrais;;0,3;1,6;0;3,13;10;35;123;53;0,6;47;6,9;3,92;0,39;10,81
Vidoc;2022;Seau plastique;22RR.VIDOCSB;;0,2;1,5;0,2;2,99;140;9;211;167;0,5;42;8,3;3,74;0,15;10,58
