ID_geno;Millesime;Moda_oeno;acetique;lactique;malique;AT;IPT;IC;pH;TAVP
RR003;2023;;0,18;0,7;0,6;3,51;95;23,8;3,39;10,22
RR005;2023;;0,27;3,3;0,3;3,13;45;3,9;3,99;10,72
RR006;2023;;0,16;2,9;0,2;2,95;32;2,2;3,80;7,45
RR009;2023;;0,13;1,2;0;3,07;36;2,4;3,57;9,94
RR012;2023;;0,33;3,2;0;2,95;57;5,1;4,29;11,57
RR013;2023;;0,15;4,1;0;3,07;47;3,7;3,97;10,29
RR015;2023;;0,2;1;0,2;2,37;60;5,7;3,94;10,00
RR016;2023;;0,12;1,7;0;2,16;61;2,4;4,28;10,64
RR018;2023;;0,38;1,5;0;2,38;56;11,8;4,17;9,36
RR020;2023;;0,2;2,1;0;2,26;52;5,6;4,15;8,32
RR022;2023;;0,38;1,5;0;3,38;72;21,7;3,70;11,53
RR023;2023;;0,1;1,2;0,3;2,85;61;20,1;3,76;11,17
RR024;2023;;0,37;2,3;0;2,66;70;16,4;4,00;13,24
RR026;2023;;0,22;2,5;0,1;2,92;52;3,5;3,98;11,51
RR028;2023;;0,17;1,8;0,3;2,68;40;8,3;3,87;12,41
RR030;2023;;0,19;2,4;0,8;4,94;75;28,8;3,18;11,90
RR038;2023;;0,18;2,5;0,7;3,25;70;21,9;3,84;9,54
RR042;2023;;0,12;2,1;0,3;2,59;49;5,6;3,96;8,98
RR045;2023;;0,19;2;0;2,74;51;4,4;4,08;10,72
RR048;2023;;0,13;2;0,8;2,59;63;9,2;4,00;10,26
Floreal;2023;;0,3;0;0,8;2,33;;;3,82;12,82
Grenache;2023;;0,13;0,7;0;3,02;35;1,4;3,43;9,25
Muscaris;2023;;0,3;0;2,7;3,92;;;3,51;15,47
Syrah;2023;;0,16;2,8;0,7;2,5;58;8,3;4,15;10,82
Vidoc;2023;Standard;0,14;1,4;0,3;3,14;78;10,8;3,80;12,09
Vidoc;2023;MPF 5j puis FA phase liquide;0,15;1,7;0;3,1;25;1,6;3,70;12,05
