ID_placette;PertesBR2023
Floreal_02;
RR026;15% de pertes de récolte
RR025;70% de pertes de récolte
RR024;
RR023;
RR022;
RR021;
RR020;10% de pertes récolte
RR019;
RR018;
RR017;
RR016;
RR015;
RR014;
RR013;
RR012;
RR011;
RR010;
Vidoc_01;
RR009;
RR008;
RR007;
RR006;
RR005;
RR004;20% de pertes de récolte
RR003;
RR002;
RR001;
Floreal_01;
Vidoc_02;
RR027;25% de pertes de récolte
RR028;10% de pertes de récolte
RR029;30% de pertes de récolte
RR030;25% de pertes de récolte
RR031;
RR032;
RR033;
RR034;
RR035;
RR036;
RR037;
Floreal_03;
RR038;
RR039;
RR040;
RR041;
RR042;
RR043;
RR044;
RR045;
RR046;
RR047;
RR048;
Vidoc_03;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
