ID_placette;Fletri
Floreal_02;
RR026;
RR025;
RR024;
RR023;
RR022;oui, beaucoup
RR021;oui, un peu
RR020;
RR019;
RR018;
RR017;
RR016;
RR015;
RR014;
RR013;
RR012;oui
RR011;oui, un peu
RR010;
Vidoc_01;
RR009;
RR008;
RR007;
RR006;
RR005;oui
RR004;
RR003;
RR002;oui
RR001;oui
Floreal_01;
Vidoc_02;
RR027;
RR028;
RR029;
RR030;
RR031;
RR032;
RR033;
RR034;oui
RR035;oui
RR036;oui
RR037;oui, un peu
Floreal_03;
RR038;
RR039;oui, beaucoup
RR040;oui, beaucoup
RR041;
RR042;
RR043;oui
RR044;oui
RR045;oui
RR046;oui, un peu
RR047;
RR048;
Vidoc_03;
RR049;
RR050;
RR051;
Floreal_04;
Floreal_06;
RR075;
RR074;
RR073;
Vidoc_05;
RR072;
RR071;
RR070;
RR069;
RR068;
RR067;
RR066;
RR065;
RR064;
RR063;
Floreal_05;
RR062;
RR061;
RR060;
RR059;
RR058;
RR057;
RR056;
RR055;
RR054;
RR053;
RR052;
Vidoc_04;
Vidoc_06;
RR076;
RR077;
RR078;
RR079;
RR080;
RR081;
Floreal_07;
RR082;
RR083;
RR084;
RR085;
RR086;
RR087;
RR088;
RR089;
RR090;
RR091;
Vidoc_07;
RR092;
RR093;
RR094;
RR095;
RR096;
RR097;
RR098;
RR099;
Floreal_08;
Floreal_10;
RR123;
RR122;
RR121;
RR120;
RR119;
RR118;
RR117;
RR116;
RR115;
Vidoc_09;
RR114;
RR113;
RR112;
RR111;
RR110;
RR109;
RR108;
RR107;
RR106;
RR105;
Floreal_09;
RR104;
RR103;
RR102;
RR101;
RR100;
Vidoc_08;
Vidoc_10;
RR124;
RR125;
RR126;
RR127;
RR128;
RR129;
RR130;
Floreal_11;
RR131;
RR132;
RR133;
RR134;
RR135;
RR136;
RR137;
Vidoc_11;
RR138;
RR139;
RR140;
RR141;
RR142;
RR143;
RR144;
RR145;
RR146;
RR147;
Floreal_12;
Muscaris_03;
RM16;
RM15;
RM14;
RM13;
Muscaris_02;
RM12;
RM11;
RM10;
RM09;
RM08;
RH05;
RM06;
RM05;
RM04;
RM03;
RM02;
RM01;
Muscaris_01;
RR155;
RR154;
RR153;
RR152;
RR151;
RR150;
RR149;
RR148;
Vidoc_12;
Muscaris_04;
RM17;
RM18;
RM19;
RM20;
RM21;
RM22;
RM23;
RM24;
RM25;
Muscaris_05;
RM26;
RM27;
RM28;
RM29;
RM30;
RM31;
RM32;
RM33;
RM34;
RM35;
RM36;
RM37;
RM38;
RM39;
RM40;
Muscaris_06;
Floreal_13;
