ID_placette;Effet_parasol
Syrah_11;TNT
Syrah_14;EC +
Grenache_02;TNT
Grenache_05;
Floreal_02;LP +
RR026;EC +
RR025;
RR024;
RR023;2+
RR022;EC +
RR021;-
RR020;
RR019;EC +
RR018;-
RR017;
RR016;
RR015;LP +
RR014;-
RR013;LP +
RR012;
RR011;-
RR010;-
Vidoc_01;-
RR009;
RR008;-
RR007;EC +
RR006;LP +
RR005;
RR004;
RR003;
RR002;-
RR001;
Floreal_01;
Vidoc_02;-
RR027;LP +
RR028;LP
RR029;EC +
RR030;
RR031;-
RR032;-
RR033;-
RR034;2 +
RR035;-
RR036;-
RR037;2 +
Floreal_03;
RR038;
RR039;
RR040;EC +
RR041;-
RR042;
RR043;-
RR044;-
RR045;2 +
RR046;
RR047;-
RR048;EC +
Vidoc_03;-
;
